Team,HomeFlag,firstName,lastName,ExpectedSOG,lastfivemargin,avgshotshomevaway,locationmargin,combinedmargin,LastFiveAvgShots,LastTenAvgShots,Opponent,GoalieLastName,RankAvgShotsAgainst,RankAvgGoalsAgainst,RankAvgSavePctg
FLA,0,Jesper,Boqvist,1.0,0.0,1.0,0.0,0.0,1.0,0.5,NJD,Markstrom,20.83,85.83,6.25
PIT,0,Sidney,Crosby,2.0,-0.6,1.75,-0.25,-0.85,1.4,0.7,LAK,Kuemper,54.58,65.42,22.5
NYR,0,Artemi,Panarin,2.0,0.2,2.2,0.2,0.4,2.2,1.1,TOR,Stolarz,47.08,52.08,38.33
PIT,0,Harrison,Brunicke,1.0,-0.2,1.33,0.33,0.13,0.8,0.4,LAK,Kuemper,54.58,65.42,22.5
PIT,0,Kris,Letang,1.0,0.0,1.25,0.25,0.25,1.0,0.5,LAK,Kuemper,54.58,65.42,22.5
NYR,0,Urho,Vaakanainen,1.0,-0.2,0.8,-0.2,-0.4,0.8,0.4,TOR,Stolarz,47.08,52.08,38.33
NYR,0,Carson,Soucy,1.0,-0.4,1.0,0.0,-0.4,0.6,0.3,TOR,Stolarz,47.08,52.08,38.33
COL,0,Ross,Colton,1.0,0.6,2.0,1.0,1.6,1.6,0.8,CBJ,Greaves,96.67,30.83,80.42
COL,0,Joel,Kiviranta,1.0,-0.4,0.75,-0.25,-0.65,0.6,0.3,CBJ,Greaves,96.67,30.83,80.42
LAK,1,Anze,Kopitar,1.5,-0.3,1.5,0.0,-0.3,1.2,0.6,PIT,Silovs,63.75,52.08,52.08
LAK,1,Anze,Kopitar,1.5,-0.3,1.5,0.0,-0.3,1.2,0.6,PIT,Jarry,63.75,72.08,27.08
LAK,1,Alex,Turcotte,1.0,-0.2,1.0,0.0,-0.2,0.8,0.4,PIT,Silovs,63.75,52.08,52.08
LAK,1,Alex,Turcotte,1.0,-0.2,1.0,0.0,-0.2,0.8,0.4,PIT,Jarry,63.75,72.08,27.08
LAK,1,Brian,Dumoulin,1.0,-0.4,0.75,-0.25,-0.65,0.6,0.3,PIT,Silovs,63.75,52.08,52.08
LAK,1,Brian,Dumoulin,1.0,-0.4,0.75,-0.25,-0.65,0.6,0.3,PIT,Jarry,63.75,72.08,27.08
LAK,1,Cody,Ceci,1.0,0.0,1.25,0.25,0.25,1.0,0.5,PIT,Silovs,63.75,52.08,52.08
LAK,1,Cody,Ceci,1.0,0.0,1.25,0.25,0.25,1.0,0.5,PIT,Jarry,63.75,72.08,27.08
MTL,1,Patrik,Laine,1.0,0.2,1.5,0.5,0.7,1.2,0.6,NSH,Saros,79.58,16.25,87.5
TOR,1,Bobby,McMann,2.5,-0.5,2.5,0.0,-0.5,2.0,1.0,NYR,Shesterkin,30.83,2.92,97.08
MTL,1,Mike,Matheson,1.0,0.0,1.25,0.25,0.25,1.0,0.5,NSH,Saros,79.58,16.25,87.5
BOS,0,Elias,Lindholm,3.0,-0.6,3.0,0.0,-0.6,2.4,1.2,VGK,Hill,2.08,52.08,8.33
EDM,0,David,Tomasek,3.0,-1.2,3.0,0.0,-1.2,1.8,0.9,NYI,Sorokin,50.0,85.83,19.17
EDM,0,Vasily,Podkolzin,1.0,-0.2,1.33,0.33,0.13,0.8,0.4,NYI,Sorokin,50.0,85.83,19.17
LAK,1,Jeff,Malott,1.0,-0.4,0.75,-0.25,-0.65,0.6,0.3,PIT,Silovs,63.75,52.08,52.08
LAK,1,Jeff,Malott,1.0,-0.4,0.75,-0.25,-0.65,0.6,0.3,PIT,Jarry,63.75,72.08,27.08
LAK,1,Andrei,Kuzmenko,2.0,-0.6,1.75,-0.25,-0.85,1.4,0.7,PIT,Silovs,63.75,52.08,52.08
LAK,1,Andrei,Kuzmenko,2.0,-0.6,1.75,-0.25,-0.85,1.4,0.7,PIT,Jarry,63.75,72.08,27.08
VGK,1,Jack,Eichel,5.0,-1.4,4.5,-0.5,-1.9,3.6,1.8,BOS,Swayman,37.92,7.5,94.58
VGK,1,Jack,Eichel,5.0,-1.4,4.5,-0.5,-1.9,3.6,1.8,BOS,Korpisalo,37.92,72.08,17.08
VGK,1,Mark,Stone,3.0,-1.2,2.25,-0.75,-1.95,1.8,0.9,BOS,Swayman,37.92,7.5,94.58
VGK,1,Mark,Stone,3.0,-1.2,2.25,-0.75,-1.95,1.8,0.9,BOS,Korpisalo,37.92,72.08,17.08
VGK,1,Shea,Theodore,3.0,-1.0,2.5,-0.5,-1.5,2.0,1.0,BOS,Swayman,37.92,7.5,94.58
VGK,1,Shea,Theodore,3.0,-1.0,2.5,-0.5,-1.5,2.0,1.0,BOS,Korpisalo,37.92,72.08,17.08
BOS,0,Viktor,Arvidsson,2.0,-0.2,2.25,0.25,0.05,1.8,0.9,VGK,Hill,2.08,52.08,8.33
BOS,0,Michael,Eyssimont,1.0,0.4,1.75,0.75,1.15,1.4,0.7,VGK,Hill,2.08,52.08,8.33
BOS,0,Henri,Jokiharju,1.0,0.2,1.5,0.5,0.7,1.2,0.6,VGK,Hill,2.08,52.08,8.33
NYR,0,J.T.,Miller,1.5,0.1,1.6,0.1,0.2,1.6,0.8,TOR,Stolarz,47.08,52.08,38.33
NYR,0,Will,Cuylle,2.0,0.4,2.4,0.4,0.8,2.4,1.2,TOR,Stolarz,47.08,52.08,38.33
NYR,0,Matt,Rempe,1.0,-0.4,0.6,-0.4,-0.8,0.6,0.3,TOR,Stolarz,47.08,52.08,38.33
MTL,1,Alexandre,Carrier,1.0,-0.4,0.75,-0.25,-0.65,0.6,0.3,NSH,Saros,79.58,16.25,87.5
OTT,1,Tim,Stützle,4.0,-0.8,4.0,0.0,-0.8,3.2,1.6,SEA,Daccord,59.17,38.75,55.83
OTT,1,Lars,Eller,1.0,-0.2,1.0,0.0,-0.2,0.8,0.4,SEA,Daccord,59.17,38.75,55.83
PHI,1,Tyson,Foerster,2.0,-0.8,2.0,0.0,-0.8,1.2,0.6,WPG,Hellebuyck,91.67,72.08,53.75
FLA,0,Carter,Verhaeghe,2.5,0.1,2.6,0.1,0.2,2.6,1.3,NJD,Markstrom,20.83,85.83,6.25
PIT,0,Parker,Wotherspoon,1.0,-0.4,0.75,-0.25,-0.65,0.6,0.3,LAK,Kuemper,54.58,65.42,22.5
NJD,1,Dawson,Mercer,2.0,-0.8,2.0,0.0,-0.8,1.2,0.6,FLA,Bobrovsky,11.67,22.08,66.25
CBJ,1,Dmitri,Voronkov,2.0,-0.4,2.67,0.67,0.27,1.6,0.8,COL,Wedgewood,43.75,22.08,75.42
NSH,0,Filip,Forsberg,3.0,-0.2,3.5,0.5,0.3,2.8,1.4,MTL,Montembeault,23.75,52.08,32.5
NSH,0,Erik,Haula,1.0,0.0,1.25,0.25,0.25,1.0,0.5,MTL,Montembeault,23.75,52.08,32.5
NSH,0,Nick,Perbix,1.0,-0.4,0.75,-0.25,-0.65,0.6,0.3,MTL,Montembeault,23.75,52.08,32.5
WPG,0,Alex,Iafallo,1.0,-0.4,1.0,0.0,-0.4,0.6,0.3,PHI,Vladar,85.83,30.83,83.75
COL,0,Valeri,Nichushkin,2.0,-0.4,2.0,0.0,-0.4,1.6,0.8,CBJ,Greaves,96.67,30.83,80.42
COL,0,Nathan,MacKinnon,4.0,-1.0,3.75,-0.25,-1.25,3.0,1.5,CBJ,Greaves,96.67,30.83,80.42
COL,0,Artturi,Lehkonen,3.0,-1.2,2.25,-0.75,-1.95,1.8,0.9,CBJ,Greaves,96.67,30.83,80.42
COL,0,Victor,Olofsson,2.0,-0.2,2.25,0.25,0.05,1.8,0.9,CBJ,Greaves,96.67,30.83,80.42
COL,0,Devon,Toews,1.0,0.0,1.25,0.25,0.25,1.0,0.5,CBJ,Greaves,96.67,30.83,80.42
VAN,0,Kiefer,Sherwood,2.0,-0.6,2.33,0.33,-0.27,1.4,0.7,DAL,Oettinger,94.17,65.42,49.17
ANA,1,Alex,Killorn,4.0,-1.6,4.0,0.0,-1.6,2.4,1.2,CAR,Andersen,5.0,52.08,24.58
ANA,1,Cutter,Gauthier,5.0,-1.8,5.33,0.33,-1.47,3.2,1.6,CAR,Andersen,5.0,52.08,24.58
LAK,1,Kevin,Fiala,5.0,-1.8,4.0,-1.0,-2.8,3.2,1.6,PIT,Silovs,63.75,52.08,52.08
LAK,1,Kevin,Fiala,5.0,-1.8,4.0,-1.0,-2.8,3.2,1.6,PIT,Jarry,63.75,72.08,27.08
LAK,1,Joel,Armia,2.0,-0.4,2.0,0.0,-0.4,1.6,0.8,PIT,Silovs,63.75,52.08,52.08
LAK,1,Joel,Armia,2.0,-0.4,2.0,0.0,-0.4,1.6,0.8,PIT,Jarry,63.75,72.08,27.08
WPG,0,Mark,Scheifele,3.0,-1.4,2.67,-0.33,-1.73,1.6,0.8,PHI,Vladar,85.83,30.83,83.75
BOS,0,Pavel,Zacha,1.0,-0.2,1.0,0.0,-0.2,0.8,0.4,VGK,Hill,2.08,52.08,8.33
BOS,0,Andrew,Peeke,2.0,-0.8,1.5,-0.5,-1.3,1.2,0.6,VGK,Hill,2.08,52.08,8.33
BOS,0,Charlie,McAvoy,1.0,0.8,2.25,1.25,2.05,1.8,0.9,VGK,Hill,2.08,52.08,8.33
TOR,1,Auston,Matthews,5.5,-1.5,5.0,-0.5,-2.0,4.0,2.0,NYR,Shesterkin,30.83,2.92,97.08
TOR,1,Morgan,Rielly,2.0,0.4,3.0,1.0,1.4,2.4,1.2,NYR,Shesterkin,30.83,2.92,97.08
OTT,1,Brady,Tkachuk,3.0,-1.0,3.33,0.33,-0.67,2.0,1.0,SEA,Daccord,59.17,38.75,55.83
FLA,0,Mackie,Samoskevich,1.5,0.1,1.6,0.1,0.2,1.6,0.8,NJD,Markstrom,20.83,85.83,6.25
FLA,0,Sam,Reinhart,3.0,0.0,3.0,0.0,0.0,3.0,1.5,NJD,Markstrom,20.83,85.83,6.25
FLA,0,Anton,Lundell,2.0,1.0,3.0,1.0,2.0,3.0,1.5,NJD,Markstrom,20.83,85.83,6.25
FLA,0,Brad,Marchand,2.0,1.2,3.2,1.2,2.4,3.2,1.6,NJD,Markstrom,20.83,85.83,6.25
NYI,1,Alexander,Romanov,1.0,-0.4,1.0,0.0,-0.4,0.6,0.3,EDM,Skinner,15.0,12.08,82.08
NYR,0,Noah,Laba,1.0,0.0,1.0,0.0,0.0,1.0,0.5,TOR,Stolarz,47.08,52.08,38.33
NYR,0,Mika,Zibanejad,3.5,0.9,4.4,0.9,1.8,4.4,2.2,TOR,Stolarz,47.08,52.08,38.33
CAR,0,Alexander,Nikishin,2.0,-0.8,2.0,0.0,-0.8,1.2,0.6,ANA,Dostal,40.83,52.08,44.58
MTL,1,Cole,Caufield,3.0,-0.6,3.0,0.0,-0.6,2.4,1.2,NSH,Saros,79.58,16.25,87.5
MTL,1,Lane,Hutson,1.0,0.0,1.25,0.25,0.25,1.0,0.5,NSH,Saros,79.58,16.25,87.5
EDM,0,Leon,Draisaitl,2.0,-0.2,3.0,1.0,0.8,1.8,0.9,NYI,Sorokin,50.0,85.83,19.17
EDM,0,Connor,McDavid,3.0,-1.0,3.33,0.33,-0.67,2.0,1.0,NYI,Sorokin,50.0,85.83,19.17
VGK,1,Pavel,Dorofeyev,3.0,-0.4,3.25,0.25,-0.15,2.6,1.3,BOS,Swayman,37.92,7.5,94.58
VGK,1,Pavel,Dorofeyev,3.0,-0.4,3.25,0.25,-0.15,2.6,1.3,BOS,Korpisalo,37.92,72.08,17.08
SEA,0,Mason,Marchment,1.0,-0.4,1.0,0.0,-0.4,0.6,0.3,OTT,Ullmark,34.58,85.83,11.67
VGK,1,Zach,Whitecloud,1.0,-0.2,1.0,0.0,-0.2,0.8,0.4,BOS,Swayman,37.92,7.5,94.58
VGK,1,Zach,Whitecloud,1.0,-0.2,1.0,0.0,-0.2,0.8,0.4,BOS,Korpisalo,37.92,72.08,17.08
NYR,0,Alexis,Lafrenière,4.0,-0.2,3.8,-0.2,-0.4,3.8,1.9,TOR,Stolarz,47.08,52.08,38.33
NYR,0,Taylor,Raddysh,1.0,0.4,1.4,0.4,0.8,1.4,0.7,TOR,Stolarz,47.08,52.08,38.33
NYR,0,Sam,Carrick,2.5,-0.5,2.0,-0.5,-1.0,2.0,1.0,TOR,Stolarz,47.08,52.08,38.33
NYR,0,Adam,Fox,2.0,1.0,3.0,1.0,2.0,3.0,1.5,TOR,Stolarz,47.08,52.08,38.33
COL,0,Jack,Drury,1.0,-0.4,0.75,-0.25,-0.65,0.6,0.3,CBJ,Greaves,96.67,30.83,80.42
COL,0,Gabriel,Landeskog,2.0,-0.6,1.75,-0.25,-0.85,1.4,0.7,CBJ,Greaves,96.67,30.83,80.42
COL,0,Cale,Makar,4.0,-1.6,3.0,-1.0,-2.6,2.4,1.2,CBJ,Greaves,96.67,30.83,80.42
BOS,0,Casey,Mittelstadt,1.0,0.0,1.25,0.25,0.25,1.0,0.5,VGK,Hill,2.08,52.08,8.33
BOS,0,Marat,Khusnutdinov,1.0,-0.2,1.0,0.0,-0.2,0.8,0.4,VGK,Hill,2.08,52.08,8.33
NSH,0,Ryan,O'Reilly,1.0,-0.2,1.0,0.0,-0.2,0.8,0.4,MTL,Montembeault,23.75,52.08,32.5
OTT,1,Dylan,Cozens,3.0,-0.2,3.5,0.5,0.3,2.8,1.4,SEA,Daccord,59.17,38.75,55.83
NSH,0,Brady,Skjei,1.0,0.6,2.0,1.0,1.6,1.6,0.8,MTL,Montembeault,23.75,52.08,32.5
OTT,1,Artem,Zub,2.0,-0.2,2.25,0.25,0.05,1.8,0.9,SEA,Daccord,59.17,38.75,55.83
NYI,1,Max,Shabanov,2.0,-0.8,2.0,0.0,-0.8,1.2,0.6,EDM,Skinner,15.0,12.08,82.08
TOR,1,Nicolas,Roy,1.0,0.0,1.25,0.25,0.25,1.0,0.5,NYR,Shesterkin,30.83,2.92,97.08
TOR,1,William,Nylander,2.0,-0.6,1.75,-0.25,-0.85,1.4,0.7,NYR,Shesterkin,30.83,2.92,97.08
FLA,0,Evan,Rodrigues,1.0,0.6,1.6,0.6,1.2,1.6,0.8,NJD,Markstrom,20.83,85.83,6.25
FLA,0,Eetu,Luostarinen,1.0,-0.2,0.8,-0.2,-0.4,0.8,0.4,NJD,Markstrom,20.83,85.83,6.25
PHI,1,Bobby,Brink,2.0,-0.8,2.0,0.0,-0.8,1.2,0.6,WPG,Hellebuyck,91.67,72.08,53.75
NJD,1,Ondrej,Palat,1.0,-0.4,1.0,0.0,-0.4,0.6,0.3,FLA,Bobrovsky,11.67,22.08,66.25
VAN,0,Filip,Chytil,3.0,-1.2,3.0,0.0,-1.2,1.8,0.9,DAL,Oettinger,94.17,65.42,49.17
VAN,0,Filip,Hronek,1.0,-0.2,1.33,0.33,0.13,0.8,0.4,DAL,Oettinger,94.17,65.42,49.17
LAK,1,Adrian,Kempe,5.0,-1.6,4.25,-0.75,-2.35,3.4,1.7,PIT,Silovs,63.75,52.08,52.08
LAK,1,Adrian,Kempe,5.0,-1.6,4.25,-0.75,-2.35,3.4,1.7,PIT,Jarry,63.75,72.08,27.08
NSH,0,Steven,Stamkos,2.0,-0.4,2.0,0.0,-0.4,1.6,0.8,MTL,Montembeault,23.75,52.08,32.5
TOR,1,Calle,Jarnkrok,2.0,-0.6,1.75,-0.25,-0.85,1.4,0.7,NYR,Shesterkin,30.83,2.92,97.08
SEA,0,Matty,Beniers,2.0,-0.8,2.0,0.0,-0.8,1.2,0.6,OTT,Ullmark,34.58,85.83,11.67
MTL,1,Arber,Xhekaj,1.0,-0.4,0.75,-0.25,-0.65,0.6,0.3,NSH,Saros,79.58,16.25,87.5
NYR,0,Vladislav,Gavrikov,1.0,0.2,1.2,0.2,0.4,1.2,0.6,TOR,Stolarz,47.08,52.08,38.33
VGK,1,Reilly,Smith,1.0,0.0,1.25,0.25,0.25,1.0,0.5,BOS,Swayman,37.92,7.5,94.58
VGK,1,Reilly,Smith,1.0,0.0,1.25,0.25,0.25,1.0,0.5,BOS,Korpisalo,37.92,72.08,17.08
DAL,1,Wyatt,Johnston,3.0,-1.2,3.0,0.0,-1.2,1.8,0.9,VAN,Demko,72.5,12.08,91.25
CAR,0,K'Andre,Miller,2.0,-0.6,2.33,0.33,-0.27,1.4,0.7,ANA,Dostal,40.83,52.08,44.58
PIT,0,Justin,Brazeau,2.0,0.0,2.5,0.5,0.5,2.0,1.0,LAK,Kuemper,54.58,65.42,22.5
PIT,0,Connor,Dewar,1.0,0.0,1.25,0.25,0.25,1.0,0.5,LAK,Kuemper,54.58,65.42,22.5
PIT,0,Anthony,Mantha,1.0,0.0,1.25,0.25,0.25,1.0,0.5,LAK,Kuemper,54.58,65.42,22.5
PIT,0,Evgeni,Malkin,3.0,-1.2,2.25,-0.75,-1.95,1.8,0.9,LAK,Kuemper,54.58,65.42,22.5
OTT,1,Shane,Pinto,3.0,-0.6,3.0,0.0,-0.6,2.4,1.2,SEA,Daccord,59.17,38.75,55.83
OTT,1,Nick,Jensen,1.0,-0.2,1.0,0.0,-0.2,0.8,0.4,SEA,Daccord,59.17,38.75,55.83
FLA,0,Aaron,Ekblad,2.0,0.0,2.0,0.0,0.0,2.0,1.0,NJD,Markstrom,20.83,85.83,6.25
