RK,PLAYER,WAR,OFF,DEF,WAA,TRPG,ORPG,RAA,WAAWP
,Shohei Ohtani,10.1,6,-1.1,7.4,9.5,8.1,72.6,1.2
,Mookie Betts,8.4,7.5,0.9,6.4,5.1,4.7,65,0.5
,Ronald Acuna Jr.,8.1,8.5,-0.8,6,5.1,4.7,61.7,0.5
,Gerrit Cole,7.5,0,0,5.7,4.6,3.1,52.9,0.7
,Marcus Semien,7.4,5.7,2.3,5.2,4.8,4.6,50.3,0.5
,Matt Olson,7.4,6.6,0,5.2,5,4.7,52.7,0.5
,Corey Seager,6.9,6.4,1.2,5.3,5,4.6,53,0.5
,Freddie Freeman,6.6,7.5,-1.6,4.4,5,4.7,45.6,0.5
,Gunnar Henderson,6.3,4.8,2.1,4.3,4.8,4.6,41.5,0.5
,Blake Snell,6,0,0,4.5,4.7,3.4,40.5,0.6
,Francisco Lindor,6,5.3,1.6,3.8,4.9,4.7,38.7,0.5
,Austin Riley,5.9,5,1.3,3.7,4.9,4.7,37.4,0.5
,Ha-Seong Kim,5.8,4.2,2.1,3.8,4.9,4.7,37.8,0.5
,Juan Soto,5.6,6.1,-1.1,3.4,5,4.7,34.4,0.5
,Logan Webb,5.6,0,0,3.7,4.7,3.7,33.8,0.6
,Wander Franco,5.5,3.9,2.3,4,4.8,4.6,38.8,0.5
,Fernando Tatis Jr.,5.5,2.7,2.3,3.6,4.8,4.7,35.2,0.5
,Corbin Carroll,5.4,5.8,-0.7,3.3,4.9,4.7,34.1,0.5
,Kyle Tucker,5.4,5.3,-0.4,3.2,4.8,4.6,31.6,0.5
,Sonny Gray,5.4,0,0,3.7,4.6,3.5,36.5,0.6
,Andres Gimenez,5.3,3,2.9,3.3,4.7,4.6,31.9,0.5
,Julio Rodriguez,5.3,5.8,0,3.2,4.8,4.6,31.2,0.5
,Yandy Diaz,5.2,5.1,-0.7,3.3,4.8,4.6,32,0.5
,Luis Robert Jr.,5.1,4.4,1.2,3.2,4.8,4.6,30.9,0.5
,Jose Ramirez,5.1,5,0.2,3,4.8,4.6,29,0.5
,J.P. Crawford,5,5.4,0.5,3,4.8,4.6,29.8,0.5
,Nico Hoerner,5,3.7,1.9,2.9,4.8,4.7,29.3,0.5
,Ketel Marte,4.9,4.8,0.6,2.9,4.9,4.7,29.3,0.5
,Kyle Bradish,4.9,0,0,3.5,4.6,3.6,33.6,0.6
,Alex Bregman,4.9,4.3,1,2.7,4.7,4.6,25.6,0.5
,Luis Arraez,4.9,4.7,0.6,2.9,4.9,4.7,29.2,0.5
,Bo Bichette,4.8,4.4,1.2,3,4.8,4.6,28.8,0.5
,Dansby Swanson,4.8,3,2.7,2.8,4.8,4.7,27.8,0.5
,Ozzie Albies,4.7,4.7,0.5,2.7,4.9,4.7,27.3,0.5
,Yordan Alvarez,4.5,4.7,-1,3,4.9,4.6,29.1,0.5
,Kodai Senga,4.5,0,0,3.1,4.7,3.7,28.3,0.6
,Aaron Judge,4.5,4.8,-0.8,3,4.9,4.6,29.8,0.5
,Cody Bellinger,4.4,4.2,0.2,2.7,4.9,4.7,27.2,0.5
,Xander Bogaerts,4.4,4.8,0.4,2.3,4.9,4.7,23.3,0.5
,Matt Chapman,4.4,3.1,1.6,2.5,4.7,4.6,23.9,0.5
,Zac Gallen,4.4,0,0,2.6,4.7,4,23.8,0.6
,Bryson Stott,4.4,3.7,1.2,2.3,4.8,4.7,23.4,0.5
,Bobby Witt Jr.,4.4,4.9,0.3,2.2,4.8,4.6,21,0.5
,Adley Rutschman,4.3,4.6,0.2,2.2,4.8,4.6,21.3,0.5
,Gabriel Moreno,4.3,1.9,3.1,3.1,4.8,4.7,30.5,0.5
,Nolan Jones,4.3,3.3,0.7,2.9,4.9,4.7,29.4,0.5
,Isaac Paredes,4.3,4.3,0.1,2.4,4.8,4.6,23.2,0.5
,Adolis Garcia,4.2,3.6,0.2,2.2,4.7,4.6,20.9,0.5
,Zack Wheeler,4.2,0,0,2.6,4.7,4,23.7,0.6
,Jordan Montgomery,4.1,0,0,2.5,9.3,7.6,23.7,1.2
,Will Smith,4.1,3.4,1.4,2.4,4.8,4.7,24.2,0.5
,Jesus Luzardo,4,0,0,2.5,4.7,4,23.1,0.6
,Ke'Bryan Hayes,4,1.9,2.4,2.3,4.7,4.7,22.9,0.5
,Brandon Nimmo,4,4.7,-0.3,1.9,4.9,4.7,19.8,0.5
,Sean Murphy,3.9,3.4,1.3,2.5,4.9,4.7,25.5,0.5
,George Kirby,3.9,0,0,2.2,4.6,3.9,23.5,0.6
,Daulton Varsho,3.9,0.8,2.8,2,4.5,4.6,18.5,0.5
,Kevin Kiermaier,3.9,2,2.2,2.5,4.7,4.6,24.3,0.5
,Merrill Kelly,3.9,0,0,2.3,4.7,4,21.6,0.6
,Jeremy Pena,3.8,3.1,1.7,1.8,4.7,4.6,16.7,0.5
,Christian Walker,3.8,2.9,0.1,1.7,4.8,4.7,17,0.5
,TJ Friedl,3.8,3.7,0.3,2,4.8,4.7,20.4,0.5
,Braxton Garrett,3.8,0,0,2.4,4.7,4,22.3,0.6
,Justin Steele,3.8,0,0,2.3,4.7,4,21,0.6
,William Contreras,3.7,4.2,0.1,1.8,4.9,4.7,18.6,0.5
,Clayton Kershaw,3.7,0,0,2.6,4.7,3.7,23.6,0.6
,Josh Lowe,3.7,3.4,-0.2,2.1,4.7,4.6,20.1,0.5
,Bryce Harper,3.7,3.6,-0.9,2,4.9,4.7,20.2,0.5
,Matt McLain,3.7,3.3,0.8,2.4,4.9,4.7,24.8,0.5
,Chas McCormick,3.6,3.1,0.4,2.1,4.7,4.6,20.5,0.5
,Tanner Scott,3.6,0,0,2.2,4.7,4.4,20.9,0.5
,Christian Yelich,3.6,3.9,-0.9,1.6,4.8,4.7,16.7,0.5
,J.T. Realmuto,3.6,3.3,1.2,1.8,4.8,4.7,18.7,0.5
,Trea Turner,3.6,4.6,-0.1,1.5,4.9,4.7,15.2,0.5
,Corbin Burnes,3.6,0,0,1.9,4.7,4.1,17.7,0.6
,Steven Kwan,3.6,1.9,1.2,1.4,4.6,4.6,13.1,0.5
,Tanner Bibee,3.6,0,0,2.3,4.6,3.8,23.2,0.6
,Zach Eflin,3.5,0,0,2,4.6,4,20.8,0.6
,Randy Arozarena,3.5,3.1,-0.1,1.4,4.7,4.6,13.4,0.5
,Justin Verlander,3.5,0,0,2.1,9.3,7.9,20.3,1.2
,Rafael Devers,3.5,4.4,-0.5,1.4,4.8,4.6,13.1,0.5
,Eduardo Rodriguez,3.5,0,0,2.1,4.6,3.8,21.8,0.6
,Brandon Marsh,3.4,3.5,0.1,1.9,4.9,4.7,19.2,0.5
,Kevin Gausman,3.4,0,0,1.8,4.6,4.1,19.4,0.6
,Sandy Alcantara,3.4,0,0,1.8,4.7,4.1,17,0.6
,Michael Harris II,3.4,3.2,0.6,1.7,4.8,4.7,16.8,0.5
,Spencer Strider,3.4,0,0,1.8,4.7,4.2,16.7,0.6
,Willson Contreras,3.4,3.5,0.3,1.8,4.9,4.7,18,0.5
,Paul Goldschmidt,3.4,3.1,-0.6,1.3,4.8,4.7,13,0.5
,Luis Castillo,3.4,0,0,1.6,4.6,4.1,18.2,0.6
,CJ Abrams,3.4,3,1.3,1.4,4.8,4.7,14,0.5
,Pablo Lopez,3.3,0,0,1.7,4.6,4.1,18.2,0.6
,Lars Nootbaar,3.3,3.1,0.3,1.7,4.8,4.7,17.5,0.5
,Mike Clevinger,3.3,0,0,2.2,4.6,3.8,21.7,0.6
,Marcell Ozuna,3.3,3.4,-1.4,1.4,4.8,4.7,14,0.5
,James Outman,3.3,3.2,0.4,1.5,4.8,4.7,15,0.5
,Ryan Jeffers,3.3,2.9,0.9,2.2,4.8,4.6,21.2,0.5
,Michael King,3.3,0,0,2,4.6,4.2,20.6,0.5
,Max Scherzer,3.2,0,0,1.9,9.3,7.9,18.2,1.2
,Cal Raleigh,3.2,3.5,0.5,1.4,4.7,4.6,13,0.5
101,Chris Martin,3.2,0,0,2.3,9.2,8.8,22.4,1
102,Lane Thomas,3.2,3.2,-0.4,1,9.5,11.9,9.6,0.8
,Yainer Diaz,3.2,2.6,0.7,1.9,4.7,4.6,18.8,0.5
,Pete Alonso,3.2,2.6,-0.2,1.1,4.7,4.7,11,0.5
,Josiah Gray,3.2,0,0,1.8,4.7,4.1,16.7,0.6
,Charlie Morton,3.2,0,0,1.7,4.7,4.2,16.2,0.6
,Anthony Volpe,3.2,1.7,2.4,1.2,4.6,4.6,11.1,0.5
108,Framber Valdez,3.1,0,0,1.4,4.6,4.2,16.2,0.5
,Brayan Bello,3.1,0,0,1.7,4.6,4,18.1,0.6
,Jeimer Candelario,3.1,3.3,-0.1,1.2,9.5,9.4,12.4,1
,Nathan Eovaldi,3.1,0,0,1.8,4.6,3.9,18.7,0.6
,Logan Gilbert,3.1,0,0,1.4,4.6,4.2,15.8,0.5
113,Anthony Santander,3,2.8,-0.6,0.9,4.7,4.6,8.5,0.5
,Felix Bautista,3,0,0,1.7,4.6,4.3,17,0.5
,Dane Dunning,3,0,0,1.6,4.6,4.2,17.1,0.5
,Spencer Steer,3,3.5,-0.9,0.9,4.8,4.7,9.2,0.5
,Willy Adames,3,2.2,1.7,0.9,4.7,4.7,9.7,0.5
,Bailey Ober,3,0,0,1.7,4.6,4,17.9,0.6
,Lourdes Gurriel Jr.,3,1.6,0.6,1,4.7,4.7,10.6,0.5
,Tyler Holton,3,0,0,2.2,4.6,4.3,21.9,0.5
121,Ian Happ,2.9,2.9,-0.5,0.8,4.8,4.7,8,0.5
,Bryce Elder,2.9,0,0,1.4,4.7,4.3,13.3,0.5
,Gleyber Torres,2.9,3.3,0,0.7,4.7,4.6,6.7,0.5
,Ryan McMahon,2.9,1.2,2.1,0.9,4.7,4.7,9,0.5
,Mike Trout,2.9,2.8,0.4,1.7,4.8,4.6,16.9,0.5
,Manny Machado,2.9,2.5,0.4,1,4.8,4.7,10.1,0.5
,Jonah Heim,2.9,2.6,1,1.2,4.7,4.6,11.6,0.5
,Max Kepler,2.9,2.6,-0.2,1.2,4.7,4.6,11.7,0.5
,Mitch Keller,2.9,0,0,1.2,4.7,4.4,11,0.5
130,Jose Altuve,2.8,4.1,-1,1.6,4.9,4.6,15.5,0.5
,Cedric Mullins,2.8,2,1,1.3,4.7,4.6,12.3,0.5
132,Shane McClanahan,2.7,0,0,1.7,4.6,3.8,17.5,0.6
,Seiya Suzuki,2.7,2.7,-0.4,0.9,4.8,4.7,8.8,0.5
,Andrew Abbott,2.7,0,0,1.8,4.7,3.9,16.4,0.6
,Mauricio Dubon,2.7,2.2,0.9,1.1,4.6,4.6,10.2,0.5
,Leody Taveras,2.7,2.2,0.8,0.9,4.6,4.6,8,0.5
,Max Fried,2.7,0,0,2,4.7,3.4,18,0.6
,Carlos Santana,2.7,1.6,0.3,0.7,9.4,9.4,7.1,1
139,LaMonte Wade Jr.,2.6,2.7,-0.7,1,4.8,4.7,9.9,0.5
,Alex Cobb,2.6,0,0,1.3,4.7,4.3,12.4,0.5
,Wilmer Flores,2.6,2.4,-0.3,1.2,4.8,4.7,11.6,0.5
,Max Muncy,2.6,3,-0.1,0.8,4.8,4.7,8.3,0.5
,Alex Verdugo,2.6,1.7,0.5,0.7,4.6,4.6,5.8,0.5
,Edouard Julien,2.6,2.9,-0.3,1.3,4.7,4.6,12.5,0.5
,Zack Gelof,2.6,2.6,0.3,1.7,4.8,4.6,16.5,0.5
,Devin Williams,2.6,0,0,1.4,4.7,4.5,13.7,0.5
,Willi Castro,2.6,2.2,0.6,1.2,9.3,9.9,11.2,0.9
,Austin Hays,2.6,2,0.2,0.7,4.6,4.6,6.7,0.5
,Nathaniel Lowe,2.6,2.2,-0.4,0.4,4.6,4.6,2.8,0.5
,Jon Berti,2.6,2,1,1.2,4.8,4.7,11.9,0.5